STORE NUMBER,Store Name,UPC,SKU,Name,Manufacturer,Segment,Yes/No
476,FOOD MAXX,3410001509,,MILLER HIGH LIFE 12/12B,MOLSON COORS BREWING,ECONOMY,Yes
476,FOOD MAXX,3410001341,,MILLER HIGH LIFE 30/12C,MOLSON COORS BREWING,ECONOMY,Yes
476,FOOD MAXX,3410057636,,MILLER LITE 12/12C,MOLSON COORS BREWING,PREMIUM,Yes
476,FOOD MAXX,3410057340,,MILLER LITE 18/12C,MOLSON COORS BREWING,PREMIUM,*
476,FOOD MAXX,3410057341,,MILLER LITE 30/12C,MOLSON COORS BREWING,PREMIUM,Yes
476,FOOD MAXX,3410057327,,MILLER LITE 36/12C,MOLSON COORS BREWING,PREMIUM,*
476,FOOD MAXX,3410057023,,MILLER LITE 9/16B,MOLSON COORS BREWING,PREMIUM,*
476,FOOD MAXX,8066095796,,MODELO CHELADA ESPECIAL 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400188,,MODELO CHELADA ESPECIAL 12/12C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354495028,,MODELO CHELADA ESPECIAL 3/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354495060,,MODELO CHELADA LIMON Y SAL 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400130,,MODELO CHELADA LIMON Y SAL 12/12C,CONSTELLATION BRANDS,CHELADA,*
476,FOOD MAXX,3354400026,,MODELO CHELADA MANGO Y CHILE 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400158,,MODELO CHELADA NARANJA PICOSA 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400080,,MODELO CHELADA PINA PICANTE 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400187,,MODELO CHELADA SANDIA PICANTE 1/24C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,3354400177,,MODELO CHELADA VARIETY 12/12C,CONSTELLATION BRANDS,CHELADA,Yes
476,FOOD MAXX,8066095777,,MODELO ESPECIAL 1/24B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095721,,MODELO ESPECIAL 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354495090,,MODELO ESPECIAL 1/32B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095757,,MODELO ESPECIAL 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095715,,MODELO ESPECIAL 12/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354495027,,MODELO ESPECIAL 18/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095711,,MODELO ESPECIAL 18/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095776,,MODELO ESPECIAL 24/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095710,,MODELO ESPECIAL 24/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400021,,MODELO ESPECIAL 24/7B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095774,,MODELO ESPECIAL 3/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
