STORE NUMBER,UPC,SKU #,Name,Manufacturer,SEGMENT,PTS of Distro,% of Distro,Yes/No
,60275501111,,FIRESTONE WALKER MIND HAZE DOUBLE IPA 1/19.2C,FIRESTONE BREWING,CRAFT,,, 
,60275501038,,FIRESTONE WALKER MIND HAZE IPA 1/19.2C,FIRESTONE BREWING,CRAFT,,, 
,60275500950,,FIRESTONE WALKER MIND HAZE IPA 12/12C,FIRESTONE BREWING,CRAFT,,, 
,60275500949,,FIRESTONE WALKER MIND HAZE IPA 6/12C,FIRESTONE BREWING,CRAFT,,, 
,60275501138,,FIRESTONE WALKER TROPICAL HAZY MIXED PACK VARIETY PACK 12/12C,FIRESTONE BREWING,CRAFT,,, 
,60275500311,,FIRESTONE WALKER VARIETY PACK 12/12C,FIRESTONE BREWING,CRAFT,,, 
,7089701331,,FOSTERS LAGER 1/25C,MOLSON COORS BREWING,IMPORT,,,1
,7089718331,,FOSTERS SPECIAL BITTER ALE 1/25C,MOLSON COORS BREWING,IMPORT,,,1
,64286013024,,FOUNDERS ALL DAY IPA 1/19.2C,FOUNDERS BREWING CO,CRAFT,,, 
,64286090024,,FOUNDERS ALL DAY IPA 15/12C,FOUNDERS BREWING CO,CRAFT,,, 
,89521600104,,FOUR LOKO FRUIT PUNCH 1/24C,PHUSION PROJECTS INC,FMB,,, 
,84980600095,,FOUR LOKO SOUR APPLE 1/24C,PHUSION PROJECTS INC,FMB,,, 
,84980600472,,FOUR LOKO USA - SOUR WHITE CHERRY  1/1/24C,PHUSION PROJECTS INC,FMB,,, 
,81007878065,,FRESCA MIXXED TEQUILA PALOMA 4/12C,CONSTELLATION BRANDS,RTD,,, 
,81007878068,,FRESCA MIXXED VODKA SPRITZ 4/12C,CONSTELLATION BRANDS,RTD,,,1
,81062803242,,GOLDEN ROAD CALIFORNIA CLASSICS 12/12C,ANHEUSER-BUSCH INBEV,CRAFT,,, 
,81062803008,,GOLDEN ROAD MANGO CART MANGO WHEAT ALE 1/25C,ANHEUSER-BUSCH INBEV,CRAFT,,, 
,85689500384,,GOLDEN ROAD MANGO CART MANGO WHEAT ALE 6/12C,ANHEUSER-BUSCH INBEV,CRAFT,,, 
,85624700504,,GOLDEN STATE GINGERGRASS HARD CIDER 4/16C,GOLDEN STATE CIDER CO,CIDER,,, 
,85624700518,,GOLDEN STATE JAMAICA CIDER 4/16C,GOLDEN STATE CIDER CO,CIDER,,, 
,85624700505,,GOLDEN STATE MIGHTY DRY HARD CIDER 1/19.2C,GOLDEN STATE CIDER CO,CIDER,,, 
,85624700500,,GOLDEN STATE MIGHTY DRY HARD CIDER 4/16C,GOLDEN STATE CIDER CO,CIDER,,, 
,85624700502,,GOLDEN STATE MIGHTY HOPS HARD CIDER 4/16C,GOLDEN STATE CIDER CO,CIDER,,, 
,85442100302,,GREAT BASIN ICHTHYOSAUR ICKY IPA 6/12B,GREAT BASIN BREWING COMPANY,CRAFT,,, 
,85442100327,,GREAT BASIN OUTLAW MILK STOUT 6/12B,GREAT BASIN BREWING COMPANY,CRAFT,,, 
,85442100314,,GREAT BASIN WILD HORSE ALE 6/12B,GREAT BASIN BREWING COMPANY,CRAFT,,, 
,8382012534,,GUINNESS DRAUGHT 0.0 NA 4/14.9C,DIAGEO BEER COMPANY USA,NON-ALC,,, 
,8382010403,,GUINNESS DRAUGHT 12/11B,DIAGEO BEER COMPANY USA,IMPORT,,, 
,8382012360,,GUINNESS DRAUGHT 4/7C,DIAGEO BEER COMPANY USA,IMPORT,,, 
,8382010401,,GUINNESS DRAUGHT 6/11B,DIAGEO BEER COMPANY USA,IMPORT,,,1
,8382012368,,GUINNESS DRAUGHT 8/15C,DIAGEO BEER COMPANY USA,IMPORT,,, 
,8382012393,,GUINNESS EXTRA STOUT 6/12B,DIAGEO BEER COMPANY USA,IMPORT,,, 
,8417396808,,HAPPY DAD HARD SELTZER VARIETY PACK 12/12C,HAPPY DAD LLC,SELTZER,,, 
,7289000654,,HEINEKEN 0.0 12/11C,HEINEKEN USA INC,NON-ALC,,,1
,7289000621,,HEINEKEN 0.0 6/11B,HEINEKEN USA INC,NON-ALC,,,1
,7289000119,,HEINEKEN 1/24C,HEINEKEN USA INC,IMPORT,,,1
,7289000016,,HEINEKEN 12/12B,HEINEKEN USA INC,IMPORT,,,1
,7289000020,,HEINEKEN 12/12C,HEINEKEN USA INC,IMPORT,,,1
,7289000031,,HEINEKEN 24/12B,HEINEKEN USA INC,IMPORT,,,1
,7289000011,,HEINEKEN 6/12B,HEINEKEN USA INC,IMPORT,,,1
,7289000669,,HEINEKEN SILVER 1/24C,HEINEKEN USA INC,IMPORT,,, 
,7289000667,,HEINEKEN SILVER CAN 12/12C,HEINEKEN USA INC,IMPORT,,, 
,85002170703,,HERETIC LEMON DROP 4/12C,HERETIC BREWING COMPANY,RTD,,, 
,8500002986,,HIGH NOON 12 PACK 12/12C,E & J GALLO WINERY,RTD,,,1
,8500042627,,HIGH NOON HARD SELTZER GRAPEFRUIT 4/12C,E & J GALLO WINERY,RTD,,, 
,8500043232,,HIGH NOON HARD SELTZER MANGO 4/12C,E & J GALLO WINERY,RTD,,, 
,8500043256,,HIGH NOON HARD SELTZER PASSIONFRUIT 4/12C,E & J GALLO WINERY,RTD,,, 
,8500042926,,HIGH NOON HARD SELTZER PINEAPPLE 4/12C,E & J GALLO WINERY,RTD,,, 
,8500003255,,HIGH NOON HARD SELTZER TROPICAL VARIETY PACK 8/12C,E & J GALLO WINERY,RTD,,, 
,8500003151,,HIGH NOON HARD SELTZER VARIETY PACK 8/12C,E & J GALLO WINERY,RTD,,,1
,8500043426,,HIGH NOON LEMON 4/12C,E & J GALLO WINERY,RTD,,, 
,8500043137,,HIGH NOON PEACH 4/12C,E & J GALLO WINERY,RTD,,, 
,8500003609,,HIGH NOON TEQUILA VARIETY 8PK 8/12C,E & J GALLO WINERY,RTD,,,1
,8500003429,,HIGH NOON VARIETY POOL PACK LTO 8PK,E & J GALLO WINERY,RTD,,, 
,85001588552,,HOP VALLEY STASH BANDICOOT 1/19.2C,MOLSON COORS BREWING,CRAFT,,, 
,85001588542,,HOP VALLEY STASH HOUSE PINEAPPLE 1/19.2C,MOLSON COORS BREWING,CRAFT,,, 
,8068684602,,HORNITOS TEQUILA SELTZER LIME 4/12C,SAUZA TEQUILA IMPORT COMPANY,RTD,,, 
,1820025012,,HURRICANE HIGH GRAVITY 1/25C,ANHEUSER-BUSCH INBEV,ECONOMY,,,1
,1820022985,,HURRICANE HIGH GRAVITY 3/25C,ANHEUSER-BUSCH INBEV,ECONOMY,,,1
,8218420688,,JACK DANIELS & COKE ZERO 4/12C,JACK DANIELS DISTILLERY,RTD,,, 
,8218420687,,JACK DANIELS 4PK COLA,JACK DANIELS DISTILLERY,RTD,,, 
